시군구,번지,단지명,전용면적,거래금액,도로명
경기도 남양주시 별내동,1072,KCC스위첸,130.097,"95,800",별내5로 81
경기도 남양주시 별내동,1072,KCC스위첸,99.7516,"86,000",별내5로 81
경기도 남양주시 별내동,1072,KCC스위첸,116.8606,"94,000",별내5로 81
경기도 남양주시 별내동,1072,KCC스위첸,116.9037,"88,000",별내5로 81
경기도 남양주시 별내동,1072,KCC스위첸,116.9037,"88,000",별내5로 81
경기도 남양주시 별내동,1072,KCC스위첸,116.8606,"90,500",별내5로 81
경기도 남양주시 별내동,1072,KCC스위첸,116.9037,"89,500",별내5로 81
경기도 남양주시 별내동,1072,KCC스위첸,116.8606,"89,800",별내5로 81
경기도 남양주시 별내동,1072,KCC스위첸,129.9575,"96,000",별내5로 81
경기도 남양주시 별내동,1072,KCC스위첸,116.9037,"88,000",별내5로 81
경기도 남양주시 별내동,1072,KCC스위첸,116.9037,"91,800",별내5로 81
경기도 남양주시 별내동,1072,KCC스위첸,116.9037,"96,000",별내5로 81
경기도 남양주시 별내동,1072,KCC스위첸,116.9037,"96,000",별내5로 81
경기도 남양주시 별내동,872,남광하우스토리,123.653,"74,500",송산로 307번길 16
경기도 남양주시 별내동,872,남광하우스토리,123.653,"78,500",송산로 307번길 17
경기도 남양주시 별내동,872,남광하우스토리,103.995,"72,000",송산로 307번길 18
경기도 남양주시 별내동,872,남광하우스토리,103.995,"69,000",송산로 307번길 19
경기도 남양주시 별내동,872,남광하우스토리,123.653,"84,500",송산로 307번길 20
경기도 남양주시 별내동,872,남광하우스토리,124.06,"82,800",송산로 307번길 21
경기도 남양주시 별내동,872,남광하우스토리,103.995,"72,000",송산로 307번길 22
경기도 남양주시 별내동,872,남광하우스토리,124.06,"84,000",송산로 307번길 23
경기도 남양주시 별내동,872,남광하우스토리,103.995,"72,300",송산로 307번길 24
경기도 남양주시 별내동,872,남광하우스토리,103.995,"75,800",송산로 307번길 25
경기도 남양주시 별내동,872,남광하우스토리,124.06,"84,000",송산로 307번길 26
경기도 남양주시 별내동,872,남광하우스토리,103.995,"76,000",송산로 307번길 27
경기도 남양주시 별내동,872,남광하우스토리,124.06,"85,000",송산로 307번길 28
경기도 남양주시 별내동,872,남광하우스토리,133.436,"95,000",송산로 307번길 29
경기도 남양주시 별내동,872,남광하우스토리,123.653,"83,000",송산로 307번길 30
경기도 남양주시 별내동,872,남광하우스토리,103.551,"76,000",송산로 307번길 31
경기도 남양주시 별내동,872,남광하우스토리,103.995,"77,700",송산로 307번길 32
경기도 남양주시 별내동,872,남광하우스토리,133.436,"89,000",송산로 307번길 33
경기도 남양주시 별내동,872,남광하우스토리,123.653,"88,000",송산로 307번길 34
경기도 남양주시 별내동,872,남광하우스토리,124.06,"83,000",송산로 307번길 35
경기도 남양주시 별내동,872,남광하우스토리,170.018,"152,000",송산로 307번길 36
경기도 남양주시 별내동,900,대원칸타빌,132.57,"86,500",순화궁로 384
경기도 남양주시 별내동,900,대원칸타빌,107.65,"84,500",순화궁로 384
경기도 남양주시 별내동,900,대원칸타빌,107.65,"89,500",순화궁로 384
경기도 남양주시 별내동,900,대원칸타빌,132.73,"91,000",순화궁로 384
경기도 남양주시 별내동,900,대원칸타빌,132.73,"98,000",순화궁로 384
경기도 남양주시 별내동,900,대원칸타빌,107.65,"91,000",순화궁로 384
경기도 남양주시 별내동,900,대원칸타빌,132.73,"70,000",순화궁로 384
경기도 남양주시 별내동,1058,동익미라벨(1058),101.376,"90,000",별내중앙로 83
경기도 남양주시 별내동,1058,동익미라벨(1058),111.41,"94,000",별내중앙로 83
경기도 남양주시 별내동,1058,동익미라벨(1058),101.376,"86,000",별내중앙로 83
경기도 남양주시 별내동,1060,동익미라벨(1060),111.41,"90,500",별내중앙로 84
경기도 남양주시 별내동,1060,동익미라벨(1060),101.311,"87,350",별내중앙로 84
경기도 남양주시 별내동,1060,동익미라벨(1060),111.34,"87,800",별내중앙로 84
경기도 남양주시 별내동,1060,동익미라벨(1060),111.34,"88,000",별내중앙로 84
경기도 남양주시 별내동,1060,동익미라벨(1060),101.311,"86,800",별내중앙로 84
경기도 남양주시 별내동,1060,동익미라벨(1060),111.41,"92,000",별내중앙로 84
경기도 남양주시 별내동,1060,동익미라벨(1060),101.62,"90,000",별내중앙로 84
경기도 남양주시 별내동,1060,동익미라벨(1060),101.311,"92,000",별내중앙로 84
경기도 남양주시 별내동,1060,동익미라벨(1060),111.41,"97,000",별내중앙로 84
경기도 남양주시 별내동,899,모아미래도아파트,84.9734,"70,500",불암로 336
경기도 남양주시 별내동,899,모아미래도아파트,84.9838,"76,000",불암로 336
경기도 남양주시 별내동,899,모아미래도아파트,84.9734,"65,000",불암로 336
경기도 남양주시 별내동,899,모아미래도아파트,84.9838,"78,000",불암로 336
경기도 남양주시 별내동,899,모아미래도아파트,84.9838,"79,800",불암로 336
