역명,지번주소
소요산,경기도 동두천시 상봉암동 126-3
동두천,경기도 동두천시 동두천동 245-210
보산,경기도 동두천시 보산동 422
동두천중앙,경기도 동두천시 생연동 726-3
지행,경기도 동두천시 지행동 424-1
덕정,경기도 양주시 덕정동 350-14
덕계,경기도 양주시 덕계동 209-5
양주,경기도 양주시 남방동 94-1
녹양,경기도 의정부시 녹양동 96-1
가능,경기도 의정부시 가능동 197-1
의정부,경기도 의정부시 의정부동 168-54
회룡,경기도 의정부시 호원동 50-5
망월사,경기도 의정부시 호원동 50-5
도봉산,서울특별시 도봉구 도봉동 18-1
도봉,서울특별시 도봉구 도봉동 639
방학,서울특별시 도봉구 방학동 728
창동,서울특별시 도봉구 창동 135-1
녹천,서울특별시 도봉구 창동 57-11
월계,서울특별시 노원구 월계동 263-1
광운대,서울특별시 노원구 월계동 85
석계,서울특별시 노원구 월계동 36-4
신이문,서울특별시 동대문구 이문동 7
외대앞,서울특별시 동대문구 이문동 360-5
회기,서울특별시 동대문구 휘경동 317-101
남영,서울특별시 용산구 갈월동 96-1
용산,서울특별시 용산구 한강로3가 40-999
노량진,서울특별시 동작구 노량진동 67-2
대방,서울특별시 영등포구 신길동 1368-3
신길,서울특별시 영등포구 신길동 41-1
영등포,서울특별시 영등포구 영등포동 618-496
신도림,서울특별시 구로구 신도림동 460-26
구로,서울특별시 구로구 구로동 585-3
구일,서울특별시 구로구 구로동 636-45
개봉,서울특별시 구로구 개보동 415
오류동,서울특별시 구로구 오류동 66
온수,서울특셜시 구로구 온수동 51-7
역곡,경기도 부천시 원미곡 역곡동 382
소사,경기도 부천시 소사구 소사본동 395
부천,경기도 부천시 소사구 심곡본동 316-2
중동,경기도 부천시 소사구 송내동 632
송내,경기도 부천시 소사구 송내동 632-4
부개,인천광역시 부평구 부개동 468
부평,인천광역시 부평구 부평동 738-21
백운,인천광역시 부평구 십정동 541-1
동암,인천광역시 부평구 십정동 541-1
간석,인천광역시 남동구 간석동 757
주안,인천광역시 남구 주안동 125
도화,인천광역시 남구 도화동 668
제물포,인천광역시 남구 숭의동 450-39
도원,인천광역시 동구 창영동 179-1
동인천,인천광역시 중구 인현동 1-613
인천,인천광역시 중구 북성동1가 3-1
가산디지털단지,서울특별시 금천구 가산동 468-4
독산,서울특별시 금천구 가산동 717
금천구청,서울특별시 금천구 시흥동 113-55
석수,경기도 안양시 만악구 석수동 737
관악,경기도 안양시 만악구 석수동 101-16
안양,경기도 안양시 만안구 안양동 88-1
명학,경기도 안양시 만안구 안양동 1163-1
금정,경기도 군포시 금정동 613
군포,경기도 군포시 당동 134-1
당정,경기도 군포시 당정동 938
의왕,경기도 의왕시 삼동 191
성균관대,경기도 수원시 장안구 율전동 495-2
화서,경기도 수원시 팔달구 화서동 464
수원,경기도 수원시 팔달구 매산로1가 18
세류,경기도 수원시 권선구 장지동 25-4
병점,경기도 화성시 진암동 824-1
세마,경기도 오산시 세교동 244-5
오산대,경기도 오산시 수청동 435-1
오산,경기도 오산시 오산동 603-116
진위,경기도 평택시 진위면 하북리 139-3
송탄,경기도 평택시 신장동 257-5
서정리,경기도 평택시 서정동 427-53
지제,경기도 평택시 지제동 559-4
평택,경기도 평택시 평택동 185-579
성환,충청남도 천안시 서북구 성환읍 성환리 449-128
직산,충청남도 천안시 서북구 직산읍 모시리 58-11
두정,충청남도 천안시 서북구 두정동 84-1
천안,충청남도 천안시 동남구 대흥동 57-1
봉명,충청남도 천안시 동남구 봉명동 20-2
쌍용(나사렛대),충청남도 천안시 서북구 쌍용동 426-3
아산,충청남도 아산시 배방읍 장재리 268
배방,충청남도 아산시 배방읍 구령리 148-2
온양온천,충청남도 아산시 온천동 56-9
신창(순천향대),충청남도 아산시 신창면 행목리 346-49
광명,경기도 광명시 일직동 276-8
서동탄,경기도 오산시 외삼미동 242
대화,경기도 고양시 일산서구 대화동 2221
주엽,경기도 고양시 일산서구 주엽동 166-7
정발산,경기도 고양시 일산동구 마두동 1123
마두,경기도 고양시 일산동구 마두동 765-1
백석,경기도 고양시 일산동구 백석동 1538
대곡,경기도 고양시 덕양구 대장동 420-1
화정,경기도 고양시 덕양구 화정동 1098
원당,경기도 고양시 덕양구 성사동 410-7
원흥,경기도 고양시 덕양구 원흥동 569-15
삼송,경기도 고양시 덕양구 삼송동 18-5
선바위,경기도 과천시 과천동 355
경마공원,경기도 과천시 과천동 654
대공원,경기도 과천시 과천동 727-1
과천,경기도 과천시 별양동 2
정부과천청사,경기도 과천시 별양동 1
인덕원,경기도 안양시 동안구 관양동 1563
평촌,경기도 안양시 동안구 관양동 1608-1
범계,경기도 안양시 동안구 호계동 1039-2
금정,경기도 군포시 금정동 613
산본,경기도 군포시 산본동 1231
수리산,경기도 군포시 산본동 1231-1
대야미,경기도 군포시 대야미동 229-1
반월,경기도 안산시 상록구 건건동 산62-1
상록수,경기도 안산시 상록구 본오동 1177
한대앞,경기도 안산시 상록구 이동 211-5
중앙,경기도 안산시 단원구 고잔동 167-378
고잔,경기도 안산시 단원구 고잔동 453-67
초지,경기도 안산시 단원구 초지동 25-1
안산,경기도 안산시 단원구 원곡동 325-12
신길온천,경기도 안산시 단원구 신길동 216-2
정왕,경기도 시흥시 정왕동 2325-12
오이도,경기도 시흥시 정왕동 878
판교(판교테크노밸리),경기도 성남시 분당구 백현동 19-2
이매,경기도 성남시 분당구 이매동 127-4
삼동,경기도 광주시 삼동 225번지
경기광주,경기도 광주시 역동 176-13번지
초월,경기도 광주시 초월읍 쌍동리 213-15
곤지암,경기도 광주시 곤지암읍 곤지암리 367-1
신둔도예촌,경기도 이천시 신둔면 남정리 362-2
이천,경기도 이천시 율현동 435
부발,경기도 이천시 부발읍 아미리 505-7
세종대왕릉,경기도 여주시 능서면 신지리 276-2
여주,경기도 여주시 교동 383-1번지
용산,서울특별시 용산구 한강로3가 40-999
이촌,서울특별시 용산구 이촌동 17-69
서빙고,서울특별시 용산구 서빙고동 241-98
한남,서울특별시 용산구 한남동 399-7
옥수,서울특별시 성동구 옥수동 168-1
응봉,서울특별시 성동구 응봉동 246
왕십리,서울특별시 성동구 행당동 168-151
청량리,서울특별시 동대문구 전농동 588-1
회기,서울특별시 동대문구 휘경동 317-101
중랑,서울특별시 중랑구 중화동 73-7
상봉,서울특별시 중랑구 상봉동 100-46
망우,서울특별시 중랑구 상봉동 172
양원(서울시북부병원),서울특별시 중랑구 망우동 269-5
구리,경기도 구리시 인창동 244-2
도농,경기도 남양주시 도농동 56-1
양정,경기도 남양주시 이패동 387
덕소,경기도 남양주시 와부읍 덕소리 590-17
도심,경기도 남양주시 와부읍 도곡리 1024-2
팔당,경기도 남양주시 와부읍 팔당리 360
