"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 주택거래신고 1588-0149/주택임대차신고 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20210501 ~ 20220419"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 남양주시"
"읍면동 : 별내동"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"경기도 남양주시 별내동","1072","1072","0000","KCC스위첸","130.097","202105","3","95,800","17","2012","별내5로 81","","-","-"
"경기도 남양주시 별내동","1072","1072","0000","KCC스위첸","99.7516","202105","10","86,000","16","2012","별내5로 81","","-","-"
"경기도 남양주시 별내동","1072","1072","0000","KCC스위첸","116.8606","202105","14","94,000","4","2012","별내5로 81","","-","-"
"경기도 남양주시 별내동","1072","1072","0000","KCC스위첸","116.9037","202105","31","88,000","13","2012","별내5로 81","","-","-"
"경기도 남양주시 별내동","1072","1072","0000","KCC스위첸","116.9037","202105","31","88,000","13","2012","별내5로 81","","-","-"
"경기도 남양주시 별내동","1072","1072","0000","KCC스위첸","116.8606","202106","4","90,500","12","2012","별내5로 81","","-","-"
"경기도 남양주시 별내동","1072","1072","0000","KCC스위첸","116.9037","202106","5","89,500","10","2012","별내5로 81","","-","-"
"경기도 남양주시 별내동","1072","1072","0000","KCC스위첸","116.8606","202106","7","89,800","14","2012","별내5로 81","","-","-"
"경기도 남양주시 별내동","1072","1072","0000","KCC스위첸","129.9575","202106","10","96,000","10","2012","별내5로 81","","-","-"
"경기도 남양주시 별내동","1072","1072","0000","KCC스위첸","116.9037","202106","16","88,000","15","2012","별내5로 81","","-","-"
"경기도 남양주시 별내동","1072","1072","0000","KCC스위첸","116.9037","202107","10","91,800","14","2012","별내5로 81","","-","-"
"경기도 남양주시 별내동","1072","1072","0000","KCC스위첸","116.9037","202110","11","96,000","10","2012","별내5로 81","","-","-"
"경기도 남양주시 별내동","1072","1072","0000","KCC스위첸","116.9037","202112","9","96,000","24","2012","별내5로 81","","중개거래","경기 남양주시"
"경기도 남양주시 별내동","872","0872","0000","남광하우스토리","123.653","202105","1","74,500","4","2012","송산로307번길 16","","-","-"
"경기도 남양주시 별내동","872","0872","0000","남광하우스토리","123.653","202105","1","78,500","9","2012","송산로307번길 16","","-","-"
"경기도 남양주시 별내동","872","0872","0000","남광하우스토리","103.995","202105","19","72,000","11","2012","송산로307번길 16","","-","-"
"경기도 남양주시 별내동","872","0872","0000","남광하우스토리","103.995","202106","1","69,000","6","2012","송산로307번길 16","","-","-"
"경기도 남양주시 별내동","872","0872","0000","남광하우스토리","123.653","202106","2","84,500","12","2012","송산로307번길 16","","-","-"
"경기도 남양주시 별내동","872","0872","0000","남광하우스토리","124.06","202106","4","82,800","5","2012","송산로307번길 16","","-","-"
"경기도 남양주시 별내동","872","0872","0000","남광하우스토리","103.995","202106","10","72,000","3","2012","송산로307번길 16","","-","-"
"경기도 남양주시 별내동","872","0872","0000","남광하우스토리","124.06","202106","12","84,000","13","2012","송산로307번길 16","","-","-"
"경기도 남양주시 별내동","872","0872","0000","남광하우스토리","103.995","202106","15","72,300","1","2012","송산로307번길 16","","-","-"
"경기도 남양주시 별내동","872","0872","0000","남광하우스토리","103.995","202106","25","75,800","6","2012","송산로307번길 16","","-","-"
"경기도 남양주시 별내동","872","0872","0000","남광하우스토리","124.06","202107","4","84,000","15","2012","송산로307번길 16","","-","-"
"경기도 남양주시 별내동","872","0872","0000","남광하우스토리","103.995","202107","24","76,000","4","2012","송산로307번길 16","","-","-"
"경기도 남양주시 별내동","872","0872","0000","남광하우스토리","124.06","202107","24","85,000","6","2012","송산로307번길 16","","-","-"
"경기도 남양주시 별내동","872","0872","0000","남광하우스토리","133.436","202107","28","95,000","15","2012","송산로307번길 16","","-","-"
"경기도 남양주시 별내동","872","0872","0000","남광하우스토리","123.653","202107","31","83,000","6","2012","송산로307번길 16","","-","-"
"경기도 남양주시 별내동","872","0872","0000","남광하우스토리","103.551","202108","20","76,000","8","2012","송산로307번길 16","","-","-"
"경기도 남양주시 별내동","872","0872","0000","남광하우스토리","103.995","202108","26","77,700","10","2012","송산로307번길 16","","-","-"
"경기도 남양주시 별내동","872","0872","0000","남광하우스토리","133.436","202109","1","89,000","12","2012","송산로307번길 16","","-","-"
"경기도 남양주시 별내동","872","0872","0000","남광하우스토리","123.653","202110","21","88,000","11","2012","송산로307번길 16","","-","-"
"경기도 남양주시 별내동","872","0872","0000","남광하우스토리","124.06","202111","6","83,000","7","2012","송산로307번길 16","","직거래","-"
"경기도 남양주시 별내동","872","0872","0000","남광하우스토리","170.018","202111","18","152,000","13","2012","송산로307번길 16","","중개거래","경기 남양주시"
"경기도 남양주시 별내동","900","0900","0000","대원칸타빌","132.57","202105","10","86,500","13","2012","순화궁로 384","","-","-"
"경기도 남양주시 별내동","900","0900","0000","대원칸타빌","107.65","202107","5","84,500","5","2012","순화궁로 384","","-","-"
"경기도 남양주시 별내동","900","0900","0000","대원칸타빌","107.65","202108","3","89,500","23","2012","순화궁로 384","","-","-"
"경기도 남양주시 별내동","900","0900","0000","대원칸타빌","132.73","202108","8","91,000","24","2012","순화궁로 384","","-","-"
"경기도 남양주시 별내동","900","0900","0000","대원칸타빌","132.73","202108","25","98,000","7","2012","순화궁로 384","","-","-"
"경기도 남양주시 별내동","900","0900","0000","대원칸타빌","107.65","202109","2","91,000","22","2012","순화궁로 384","","-","-"
"경기도 남양주시 별내동","900","0900","0000","대원칸타빌","132.73","202204","11","70,000","8","2012","순화궁로 384","","직거래","-"
"경기도 남양주시 별내동","1058","1058","0000","동익미라벨(1058)","101.376","202105","13","90,000","3","2013","별내중앙로 83","","-","-"
"경기도 남양주시 별내동","1058","1058","0000","동익미라벨(1058)","111.41","202107","7","94,000","5","2013","별내중앙로 83","","-","-"
"경기도 남양주시 별내동","1058","1058","0000","동익미라벨(1058)","101.376","202204","7","86,000","2","2013","별내중앙로 83","","중개거래","경기 남양주시"
"경기도 남양주시 별내동","1060","1060","0000","동익미라벨(1060)","111.41","202106","30","90,500","7","2013","별내중앙로 84","","-","-"
"경기도 남양주시 별내동","1060","1060","0000","동익미라벨(1060)","101.311","202106","30","87,350","5","2013","별내중앙로 84","","-","-"
"경기도 남양주시 별내동","1060","1060","0000","동익미라벨(1060)","111.34","202106","30","87,800","14","2013","별내중앙로 84","","-","-"
"경기도 남양주시 별내동","1060","1060","0000","동익미라벨(1060)","111.34","202107","1","88,000","2","2013","별내중앙로 84","","-","-"
"경기도 남양주시 별내동","1060","1060","0000","동익미라벨(1060)","101.311","202107","24","86,800","9","2013","별내중앙로 84","","-","-"
"경기도 남양주시 별내동","1060","1060","0000","동익미라벨(1060)","111.41","202107","30","92,000","13","2013","별내중앙로 84","","-","-"
"경기도 남양주시 별내동","1060","1060","0000","동익미라벨(1060)","101.62","202109","3","90,000","3","2013","별내중앙로 84","","-","-"
"경기도 남양주시 별내동","1060","1060","0000","동익미라벨(1060)","101.311","202111","2","92,000","3","2013","별내중앙로 84","","중개거래","경기 남양주시"
"경기도 남양주시 별내동","1060","1060","0000","동익미라벨(1060)","111.41","202201","10","97,000","4","2013","별내중앙로 84","","중개거래","경기 남양주시"
"경기도 남양주시 별내동","899","0899","0000","모아미래도아파트","84.9734","202105","8","70,500","13","2014","불암로 336","","-","-"
"경기도 남양주시 별내동","899","0899","0000","모아미래도아파트","84.9838","202106","27","76,000","23","2014","불암로 336","","-","-"
"경기도 남양주시 별내동","899","0899","0000","모아미래도아파트","84.9734","202108","31","65,000","15","2014","불암로 336","","-","-"
"경기도 남양주시 별내동","899","0899","0000","모아미래도아파트","84.9838","202109","2","78,000","21","2014","불암로 336","","-","-"
"경기도 남양주시 별내동","899","0899","0000","모아미래도아파트","84.9838","202109","27","79,800","6","2014","불암로 336","","-","-"
"경기도 남양주시 별내동","899","0899","0000","모아미래도아파트","84.9838","202111","1","80,000","15","2014","불암로 336","","중개거래","경기 남양주시"
"경기도 남양주시 별내동","808","0808","0000","별내별가람역 한라비발디","84.97","202106","5","84,500","9","2013","덕송3로 7","","-","-"
"경기도 남양주시 별내동","808","0808","0000","별내별가람역 한라비발디","84.98","202106","22","60,000","5","2013","덕송3로 7","","-","-"
"경기도 남양주시 별내동","808","0808","0000","별내별가람역 한라비발디","84.64","202107","10","83,500","18","2013","덕송3로 7","","-","-"
"경기도 남양주시 별내동","808","0808","0000","별내별가람역 한라비발디","84.98","202107","26","89,000","16","2013","덕송3로 7","","-","-"
"경기도 남양주시 별내동","808","0808","0000","별내별가람역 한라비발디","75.56","202110","5","83,000","15","2013","덕송3로 7","","-","-"
"경기도 남양주시 별내동","808","0808","0000","별내별가람역 한라비발디","84.97","202110","6","86,500","4","2013","덕송3로 7","","-","-"
"경기도 남양주시 별내동","808","0808","0000","별내별가람역 한라비발디","84.64","202112","17","85,000","13","2013","덕송3로 7","","중개거래","서울 노원구"
"경기도 남양주시 별내동","852","0852","0000","별내아이파크2차","72.48","202105","13","86,900","13","2015","덕송1로 30","","-","-"
